Date,Open,High,Low,Close
12/26/2024,"117.37","117.37","117.37","117.37"
12/24/2024,"116.88","116.88","116.88","116.88"
12/23/2024,"115.91","115.91","115.91","115.91"
12/20/2024,"116.29","116.29","116.29","116.29"
12/19/2024,"115.04","115.04","115.04","115.04"
12/18/2024,"115.45","115.45","115.45","115.45"
12/17/2024,"120.34","120.34","120.34","120.34"
12/16/2024,"121.71","121.71","121.71","121.71"
12/13/2024,"121.33","121.33","121.33","121.33"
12/12/2024,"121.92","121.92","121.92","121.92"
12/11/2024,"122.77","122.77","122.77","122.77"
12/10/2024,"121.99","121.99","121.99","121.99"
12/09/2024,"122.99","122.99","122.99","122.99"
12/06/2024,"123.93","123.93","123.93","123.93"
12/05/2024,"123.58","123.58","123.58","123.58"
12/04/2024,"124.77","124.77","124.77","124.77"
12/03/2024,"124.23","124.23","124.23","124.23"
12/02/2024,"124.53","124.53","124.53","124.53"
11/29/2024,"124.74","124.74","124.74","124.74"
11/27/2024,"124.42","124.42","124.42","124.42"
11/26/2024,"124.56","124.56","124.56","124.56"
11/25/2024,"125.19","125.19","125.19","125.19"
11/22/2024,"123.45","123.45","123.45","123.45"
11/21/2024,"121.58","121.58","121.58","121.58"
11/20/2024,"119.66","119.66","119.66","119.66"
11/19/2024,"119.07","119.07","119.07","119.07"
11/18/2024,"118.48","118.48","118.48","118.48"
11/15/2024,"118.05","118.05","118.05","118.05"
11/14/2024,"119.32","119.32","119.32","119.32"
11/13/2024,"120.70","120.70","120.70","120.70"
11/12/2024,"121.29","121.29","121.29","121.29"
11/11/2024,"122.75","122.75","122.75","122.75"
11/08/2024,"121.31","121.31","121.31","121.31"
11/07/2024,"120.35","120.35","120.35","120.35"
11/06/2024,"120.17","120.17","120.17","120.17"
11/05/2024,"115.36","115.36","115.36","115.36"
11/04/2024,"113.52","113.52","113.52","113.52"
11/01/2024,"113.16","113.16","113.16","113.16"
10/31/2024,"112.89","112.89","112.89","112.89"
10/30/2024,"114.50","114.50","114.50","114.50"
10/29/2024,"114.50","114.50","114.50","114.50"
10/28/2024,"114.55","114.55","114.55","114.55"
10/25/2024,"113.25","113.25","113.25","113.25"
10/24/2024,"113.77","113.77","113.77","113.77"
10/23/2024,"113.41","113.41","113.41","113.41"
10/22/2024,"114.09","114.09","114.09","114.09"
10/21/2024,"114.72","114.72","114.72","114.72"
10/18/2024,"116.17","116.17","116.17","116.17"
10/17/2024,"115.98","115.98","115.98","115.98"
10/16/2024,"116.12","116.12","116.12","116.12"
10/15/2024,"114.98","114.98","114.98","114.98"
10/14/2024,"115.19","115.19","115.19","115.19"
10/11/2024,"114.51","114.51","114.51","114.51"
10/10/2024,"112.69","112.69","112.69","112.69"
10/09/2024,"113.19","113.19","113.19","113.19"
10/08/2024,"112.59","112.59","112.59","112.59"
10/07/2024,"112.40","112.40","112.40","112.40"
10/04/2024,"113.35","113.35","113.35","113.35"
10/03/2024,"112.00","112.00","112.00","112.00"
10/02/2024,"112.49","112.49","112.49","112.49"
10/01/2024,"112.52","112.52","112.52","112.52"
09/30/2024,"113.70","113.70","113.70","113.70"
09/27/2024,"113.58","113.58","113.58","113.58"
09/26/2024,"113.43","113.43","113.43","113.43"
09/25/2024,"112.55","112.55","112.55","112.55"
09/24/2024,"113.67","113.67","113.67","113.67"
09/23/2024,"113.47","113.47","113.47","113.47"
09/20/2024,"113.13","113.13","113.13","113.13"
09/19/2024,"113.90","113.90","113.90","113.90"
09/18/2024,"111.94","111.94","111.94","111.94"
09/17/2024,"111.88","111.88","111.88","111.88"
09/16/2024,"111.27","111.27","111.27","111.27"
09/13/2024,"110.52","110.52","110.52","110.52"
09/12/2024,"108.45","108.45","108.45","108.45"
09/11/2024,"107.35","107.35","107.35","107.35"
09/10/2024,"106.76","106.76","106.76","106.76"
09/09/2024,"106.96","106.96","106.96","106.96"
09/06/2024,"106.46","106.46","106.46","106.46"
09/05/2024,"108.12","108.12","108.12","108.12"
